[rosmaster.main][INFO] 2022-01-20 15:39:19,727: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-20 15:39:19,728: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-20 15:39:19,729: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-20 15:39:19,730: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-01-20 15:39:19,731: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-01-20 15:39:19,731: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-20 15:39:19,776: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-20 15:39:19,778: +PARAM [/roslaunch/uris/host_ubuntu__43231] by /roslaunch
[rosmaster.master][INFO] 2022-01-20 15:39:19,868: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-01-20 15:39:19,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-20 15:39:19,898: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:39:19,899: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:39:19,902: +PUB [/rosout_agg] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:39:19,907: +SUB [/rosout] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:40:12,480: -PUB [/rosout_agg] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:40:12,481: -SUB [/rosout] /rosout http://ubuntu:38947/
[rosmaster.master][INFO] 2022-01-20 15:40:12,482: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ubuntu:52963
[rosmaster.master][INFO] 2022-01-20 15:40:12,484: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ubuntu:52963
[rosmaster.main][INFO] 2022-01-20 15:40:12,542: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-01-20 15:40:12,543: stopping master...
[rospy.core][INFO] 2022-01-20 15:40:12,544: signal_shutdown [atexit]
