[rosmaster.main][INFO] 2022-03-23 15:09:16,125: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-03-23 15:09:16,126: Starting ROS Master Node
[xmlrpc][INFO] 2022-03-23 15:09:16,128: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-03-23 15:09:16,129: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-03-23 15:09:16,130: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-03-23 15:09:16,130: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-03-23 15:09:16,240: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:09:16,243: +PARAM [/roslaunch/uris/host_ubuntu__38209] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:09:16,360: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:09:16,361: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:09:16,389: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:35147/
[rosmaster.master][INFO] 2022-03-23 15:09:16,391: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:35147/
[rosmaster.master][INFO] 2022-03-23 15:09:16,394: +PUB [/rosout_agg] /rosout http://ubuntu:35147/
[rosmaster.master][INFO] 2022-03-23 15:09:16,400: +SUB [/rosout] /rosout http://ubuntu:35147/
[rosmaster.master][INFO] 2022-03-23 15:09:19,806: +PUB [/rosout] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:19,814: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:19,817: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:19,836: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/']
[rosmaster.master][INFO] 2022-03-23 15:09:19,845: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:09:22,486: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:09:22,490: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2022-03-23 15:09:22,502: +SUB [/rosout_agg] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:23,509: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:09:23,520: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:23,524: +SUB [/tf] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:09:23,529: +SUB [/tf_static] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:10:37,422: +PARAM [/roslaunch/uris/host_ubuntu__38947] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:10:37,428: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:10:37,429: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-03-23 15:10:39,019: +PUB [/video/click] /talker http://ubuntu:45631/
[rosmaster.master][INFO] 2022-03-23 15:10:39,034: +PUB [/rosout] /listener http://ubuntu:42197/
[rosmaster.master][INFO] 2022-03-23 15:10:39,041: +SERVICE [/listener/get_loggers] /listener http://ubuntu:42197/
[rosmaster.master][INFO] 2022-03-23 15:10:39,044: +SERVICE [/listener/set_logger_level] /listener http://ubuntu:42197/
[rosmaster.master][INFO] 2022-03-23 15:10:39,049: +SUB [/video/click] /listener http://ubuntu:42197/
[rosmaster.master][INFO] 2022-03-23 15:10:39,088: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/']
[rosmaster.master][INFO] 2022-03-23 15:10:39,091: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:10:39,117: +PUB [/rosout] /talker http://ubuntu:45631/
[rosmaster.master][INFO] 2022-03-23 15:10:39,127: +SERVICE [/talker/get_loggers] /talker http://ubuntu:45631/
[rosmaster.master][INFO] 2022-03-23 15:10:39,145: +SERVICE [/talker/set_logger_level] /talker http://ubuntu:45631/
[rosmaster.master][INFO] 2022-03-23 15:10:39,189: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/', 'http://ubuntu:45631/']
[rosmaster.master][INFO] 2022-03-23 15:10:39,215: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/', 'http://ubuntu:45631/']: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:10:39,268: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:10:39,281: +SUB [/video/click] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:10:39,843: +PUB [/image_raw] /webcam http://ubuntu:43189/
[rosmaster.master][INFO] 2022-03-23 15:10:39,939: +PUB [/rosout] /webcam http://ubuntu:43189/
[rosmaster.master][INFO] 2022-03-23 15:10:39,945: +SERVICE [/webcam/get_loggers] /webcam http://ubuntu:43189/
[rosmaster.master][INFO] 2022-03-23 15:10:39,948: +SERVICE [/webcam/set_logger_level] /webcam http://ubuntu:43189/
[rosmaster.master][INFO] 2022-03-23 15:10:39,994: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/', 'http://ubuntu:45631/', 'http://ubuntu:43189/']
[rosmaster.master][INFO] 2022-03-23 15:10:39,999: publisherUpdate[/rosout] -> http://ubuntu:35147/ ['http://ubuntu:44453/', 'http://ubuntu:42197/', 'http://ubuntu:45631/', 'http://ubuntu:43189/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:10:41,291: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:10:41,304: +SUB [/image_raw] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:04,621: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:04,631: +PUB [/cmd_vel] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:04,635: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:04,648: +SUB [/cmd_vel] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:43,124: +PUB [/video/click] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:43,130: publisherUpdate[/video/click] -> http://ubuntu:42197/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']
[rosmaster.master][INFO] 2022-03-23 15:11:43,135: publisherUpdate[/video/click] -> http://ubuntu:42197/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:11:43,135: publisherUpdate[/video/click] -> http://ubuntu:44453/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']
[rosmaster.master][INFO] 2022-03-23 15:11:43,143: publisherUpdate[/video/click] -> http://ubuntu:44453/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:11:43,680: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:43,691: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:43,698: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:45,949: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
