[rosmaster.main][INFO] 2022-01-18 17:44:10,135: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-18 17:44:10,136: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-18 17:44:10,138: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-18 17:44:10,139: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-01-18 17:44:10,139: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-01-18 17:44:10,139: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-18 17:44:10,255: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-18 17:44:10,258: +PARAM [/roslaunch/uris/host_ubuntu__40847] by /roslaunch
[rosmaster.master][INFO] 2022-01-18 17:44:10,345: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-01-18 17:44:10,345: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-18 17:44:10,378: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:44:10,380: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:44:10,383: +PUB [/rosout_agg] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:44:10,389: +SUB [/rosout] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:44:13,458: +PUB [/rosout] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:13,466: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:13,469: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:13,544: publisherUpdate[/rosout] -> http://ubuntu:34651/ ['http://ubuntu:34941/']
[rosmaster.master][INFO] 2022-01-18 17:44:13,559: publisherUpdate[/rosout] -> http://ubuntu:34651/ ['http://ubuntu:34941/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-01-18 17:44:16,187: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-01-18 17:44:16,191: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2022-01-18 17:44:16,203: +SUB [/rosout_agg] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:17,138: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-01-18 17:44:17,146: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:17,151: +SUB [/tf] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:44:17,155: +SUB [/tf_static] /link_ros http://ubuntu:34941/
[rosmaster.master][INFO] 2022-01-18 17:48:21,760: -PUB [/rosout_agg] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:48:21,761: -SUB [/rosout] /rosout http://ubuntu:34651/
[rosmaster.master][INFO] 2022-01-18 17:48:21,763: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ubuntu:58627
[rosmaster.master][INFO] 2022-01-18 17:48:21,764: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ubuntu:58627
[rosmaster.master][INFO] 2022-01-18 17:48:21,766: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2022-01-18 17:48:21,815: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-01-18 17:48:21,815: stopping master...
[rospy.core][INFO] 2022-01-18 17:48:21,815: signal_shutdown [atexit]
