[rosmaster.main][INFO] 2022-02-02 11:22:02,105: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-02 11:22:02,109: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-02 11:22:02,111: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-02 11:22:02,112: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-02-02 11:22:02,112: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-02-02 11:22:02,113: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-02 11:22:02,207: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-02 11:22:02,210: +PARAM [/roslaunch/uris/host_ubuntu__35677] by /roslaunch
[rosmaster.master][INFO] 2022-02-02 11:22:02,296: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-02 11:22:02,297: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-02 11:22:02,327: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:39169/
[rosmaster.master][INFO] 2022-02-02 11:22:02,329: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:39169/
[rosmaster.master][INFO] 2022-02-02 11:22:02,331: +PUB [/rosout_agg] /rosout http://ubuntu:39169/
[rosmaster.master][INFO] 2022-02-02 11:22:02,336: +SUB [/rosout] /rosout http://ubuntu:39169/
[rosmaster.master][INFO] 2022-02-02 11:22:05,748: +PUB [/rosout] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:05,756: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:05,759: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:05,818: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:35937/']
[rosmaster.master][INFO] 2022-02-02 11:22:05,833: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:35937/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:22:08,507: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:22:08,511: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2022-02-02 11:22:08,524: +SUB [/rosout_agg] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:09,460: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:22:09,471: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:09,475: +SUB [/tf] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:22:09,479: +SUB [/tf_static] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:24:28,489: -SUB [/tf_static] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:24:28,489: -SUB [/tf] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:24:28,490: -SUB [/rosout_agg] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:24:28,490: -PUB [/rosout] /link_ros http://ubuntu:35937/
[rosmaster.master][INFO] 2022-02-02 11:24:28,490: -SERVICE [/link_ros/get_loggers] /link_ros rosrpc://ubuntu:37883
[rosmaster.master][INFO] 2022-02-02 11:24:28,491: -SERVICE [/link_ros/tf2_frames] /link_ros rosrpc://ubuntu:37883
[rosmaster.master][INFO] 2022-02-02 11:24:28,491: -SERVICE [/link_ros/set_logger_level] /link_ros rosrpc://ubuntu:37883
[rosmaster.master][INFO] 2022-02-02 11:24:28,493: publisherUpdate[/rosout] -> http://ubuntu:39169/ []
[rosmaster.master][INFO] 2022-02-02 11:24:28,499: publisherUpdate[/rosout] -> http://ubuntu:39169/ []: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:24:40,282: +PUB [/rosout] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:40,289: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:40,292: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:40,316: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/']
[rosmaster.master][INFO] 2022-02-02 11:24:40,320: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:24:40,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:24:40,981: +SUB [/rosout_agg] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:41,966: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:24:41,975: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:41,980: +SUB [/tf] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:24:41,986: +SUB [/tf_static] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:25:45,722: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:25:45,729: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:15,457: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:15,466: +PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:30:15,471: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:15,481: +SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:30:16,037: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:16,044: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:16,049: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:31:44,729: +PUB [/rosout] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,738: +SERVICE [/rostopic_20468_1643801504572/get_loggers] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,741: +SERVICE [/rostopic_20468_1643801504572/set_logger_level] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,753: +SUB [/sweeper_cmd_bt] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,796: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/', 'http://ubuntu:39139/']
[rosmaster.master][INFO] 2022-02-02 11:31:44,804: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/', 'http://ubuntu:39139/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:31:52,149: -SUB [/sweeper_cmd_bt] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:52,150: -PUB [/rosout] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:52,151: -SERVICE [/rostopic_20468_1643801504572/get_loggers] /rostopic_20468_1643801504572 rosrpc://ubuntu:39351
