[rosmaster.main][INFO] 2022-01-23 16:57:58,339: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-23 16:57:58,339: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-23 16:57:58,341: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-23 16:57:58,342: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-01-23 16:57:58,342: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-01-23 16:57:58,343: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-23 16:57:58,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-23 16:57:58,383: +PARAM [/roslaunch/uris/host_ubuntu__45301] by /roslaunch
[rosmaster.master][INFO] 2022-01-23 16:57:58,460: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-01-23 16:57:58,460: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-23 16:57:58,489: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:57:58,491: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:57:58,493: +PUB [/rosout_agg] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:57:58,498: +SUB [/rosout] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:58:00,893: -PUB [/rosout_agg] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:58:00,895: -SUB [/rosout] /rosout http://ubuntu:38291/
[rosmaster.master][INFO] 2022-01-23 16:58:00,896: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ubuntu:56273
[rosmaster.master][INFO] 2022-01-23 16:58:00,897: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ubuntu:56273
[rosmaster.main][INFO] 2022-01-23 16:58:01,005: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-01-23 16:58:01,006: stopping master...
[rospy.core][INFO] 2022-01-23 16:58:01,007: signal_shutdown [atexit]
