[rosmaster.main][INFO] 2022-01-25 20:11:33,931: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-01-25 20:11:33,931: Starting ROS Master Node
[xmlrpc][INFO] 2022-01-25 20:11:33,933: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-01-25 20:11:33,934: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2022-01-25 20:11:33,934: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2022-01-25 20:11:33,934: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-01-25 20:11:34,030: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-01-25 20:11:34,034: +PARAM [/roslaunch/uris/host_ubuntu__45151] by /roslaunch
[rosmaster.master][INFO] 2022-01-25 20:11:34,120: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-01-25 20:11:34,120: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-01-25 20:11:34,152: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:11:34,154: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:11:34,156: +PUB [/rosout_agg] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:11:34,161: +SUB [/rosout] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:11:37,645: +PUB [/rosout] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:37,653: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:37,656: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:37,740: publisherUpdate[/rosout] -> http://ubuntu:41905/ ['http://ubuntu:35777/']
[rosmaster.master][INFO] 2022-01-25 20:11:37,755: publisherUpdate[/rosout] -> http://ubuntu:41905/ ['http://ubuntu:35777/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-01-25 20:11:40,365: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-01-25 20:11:40,369: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2022-01-25 20:11:40,380: +SUB [/rosout_agg] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:41,318: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-01-25 20:11:41,326: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:41,331: +SUB [/tf] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:11:41,336: +SUB [/tf_static] /link_ros http://ubuntu:35777/
[rosmaster.master][INFO] 2022-01-25 20:12:40,622: -PUB [/rosout_agg] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:12:40,623: -SUB [/rosout] /rosout http://ubuntu:41905/
[rosmaster.master][INFO] 2022-01-25 20:12:40,625: -SERVICE [/rosout/get_loggers] /rosout rosrpc://ubuntu:60273
[rosmaster.master][INFO] 2022-01-25 20:12:40,627: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://ubuntu:60273
[rosmaster.master][INFO] 2022-01-25 20:12:40,628: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2022-01-25 20:12:40,652: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-01-25 20:12:40,653: stopping master...
[rospy.core][INFO] 2022-01-25 20:12:40,654: signal_shutdown [atexit]
